Word Count,Unique Words,Characters,Average Word Lengths,Unique Proportion,Hapax Legomenons,Sentence Count,Average Sentence Length,Punctuation Marks,Stop Words,Complex Verbs,Sophisticated Adjectives,Adverbs,Questions,Exclamations,Contractions,Abstract Nouns,VADER Score,Subjectivity,Polarity,Flesch Reading Score,Gunning Fog,First Person Pronouns,Direct Addresses,Date Entities,Role
76,50,315,4.144736842105263,0.6578947368421053,0.1111111111111111,5,15.2,21,22,3,1,4,0,0,0,0,0.8514,0.5333333333333333,0.0,84.54384210526318,8.185263157894736,0,0,2,3
107,61,356,3.3271028037383177,0.5700934579439252,0.12359550561797752,8,13.375,35,24,14,1,4,0,0,0,0,0.8788,0.6777777777777777,0.1388888888888889,92.84629088785047,6.471495327102804,1,0,5,3
398,193,2249,5.650753768844221,0.4849246231155779,0.05469097376611828,18,22.11111111111111,66,117,37,19,27,0,0,1,0,-0.771,0.53828125,0.10677083333333334,36.66106644332777,17.387158012283642,1,0,1,0
212,75,919,4.334905660377358,0.35377358490566035,0.036996735582154515,23,9.217391304347826,42,63,13,0,17,0,0,10,0,0.942,0.12916666666666668,0.03125,94.92180065627564,4.441673502871207,1,0,3,3
95,62,421,4.431578947368421,0.6526315789473685,0.10688836104513064,5,19.0,17,32,7,2,8,0,0,1,0,-0.9187,0.39791666666666664,0.21458333333333335,74.45315789473686,11.810526315789474,1,0,1,8
89,53,351,3.943820224719101,0.5955056179775281,0.09971509971509972,8,11.125,21,27,13,0,8,1,0,0,0,0.8218,0.3166666666666667,0.0,85.27795646067416,7.596067415730338,1,0,3,3
195,128,1335,6.846153846153846,0.6564102564102564,0.07715355805243446,12,16.25,32,0,9,0,0,0,0,0,0,0.0,0.0,0.0,105.74125000000001,6.5,0,0,0,5
80,46,274,3.425,0.575,0.10583941605839416,4,20.0,22,13,5,3,2,1,0,0,0,0.3182,0.525,0.2875,86.07250000000003,11.0,0,0,4,3
92,50,361,3.9239130434782608,0.5434782608695652,0.07479224376731301,3,30.666666666666668,13,41,11,1,4,0,0,2,0,-0.1373,0.325,-0.025,76.39528985507248,13.136231884057972,1,0,0,1
244,95,1038,4.254098360655738,0.38934426229508196,0.05491329479768786,7,34.857142857142854,44,91,20,3,7,1,0,1,0,0.714,0.2828472222222222,0.04666666666666667,67.09188524590166,16.237939110070254,4,0,0,7
162,71,596,3.6790123456790123,0.4382716049382716,0.06208053691275168,15,10.8,33,63,14,0,9,0,0,0,0,0.8434,0.7111111111111111,0.06666666666666667,96.1285555555556,6.29530864197531,3,0,25,1
141,92,677,4.801418439716312,0.6524822695035462,0.10044313146233383,12,11.75,21,45,7,4,5,1,0,1,0,0.9652,0.6222222222222222,0.15833333333333335,78.50875,7.820567375886525,2,2,0,5
197,80,718,3.6446700507614214,0.40609137055837563,0.05988857938718663,10,19.7,62,52,11,2,13,0,0,1,0,0.942,0.5113636363636364,-0.011931818181818182,82.48518527918783,10.925685279187817,2,0,6,1
218,112,951,4.362385321100917,0.5137614678899083,0.07781282860147214,8,27.25,35,87,24,5,14,1,0,2,0,-0.9584,0.22976190476190478,0.03452380952380952,67.79918577981653,14.019266055045874,0,0,8,10
128,62,545,4.2578125,0.484375,0.07339449541284404,14,9.142857142857142,33,42,11,1,10,0,0,2,0,0.8971,0.4818181818181818,0.25,96.43156250000001,6.1571428571428575,2,0,17,1
365,142,1843,5.049315068493151,0.38904109589041097,0.04395008138903961,23,15.869565217391305,57,122,32,18,24,2,0,9,0,-0.8364,0.49485294117647055,0.06519607843137255,58.38054198927935,12.484812388326386,2,0,1,7
38,28,186,4.894736842105263,0.7368421052631579,0.11290322580645161,2,19.0,5,16,3,0,0,1,0,0,0,0.3182,0.0,0.0,67.32894736842107,9.705263157894738,1,0,2,7
154,71,687,4.461038961038961,0.461038961038961,0.07132459970887918,9,17.11111111111111,23,64,11,1,8,0,0,3,0,-0.4767,0.4244897959183673,0.010204081632653057,81.24514430014432,9.961327561327563,1,0,1,8
198,105,1008,5.090909090909091,0.5303030303030303,0.0744047619047619,20,9.9,53,30,14,1,10,0,0,5,0,0.6908,0.625,0.0,96.37740909090911,7.192323232323233,1,0,14,1
262,102,1079,4.1183206106870225,0.3893129770992366,0.05004633920296571,13,20.153846153846153,54,97,22,7,10,1,0,2,0,-0.1154,0.2416666666666667,0.06597222222222222,80.46739577216677,10.962301820317087,2,0,6,0
97,64,453,4.670103092783505,0.6597938144329897,0.10596026490066225,4,24.25,14,37,9,4,8,1,0,0,0,0.7351,0.7619047619047619,0.09523809523809523,67.0954768041237,12.58659793814433,1,0,1,7
47,39,199,4.23404255319149,0.8297872340425532,0.1708542713567839,6,7.833333333333333,7,20,4,1,5,2,0,1,0,-0.6321,0.6583333333333333,0.020833333333333332,92.6841666666667,4.835460992907802,3,0,0,7
226,91,1234,5.460176991150442,0.4026548672566372,0.04294975688816856,19,11.894736842105264,36,87,27,10,17,3,0,0,0,-0.6194,0.3892857142857143,0.08571428571428572,54.38573591057289,12.368514205868655,0,0,2,5
83,41,287,3.4578313253012047,0.4939759036144578,0.08710801393728224,5,16.6,29,22,9,1,3,0,0,0,0,0.4497,0.75,0.375,80.92334939759039,10.977349397590363,0,0,4,8
409,165,1802,4.405867970660147,0.4034229828850856,0.05660377358490566,24,17.041666666666668,43,168,36,4,21,2,0,9,0,0.9094,0.5077107279693487,-0.10751915708812262,80.52988437245314,9.359453952730238,3,0,0,7
109,58,397,3.6422018348623855,0.5321100917431193,0.08816120906801007,5,21.8,27,21,7,1,4,1,0,3,0,0.5859,0.5,0.5,90.01809174311927,10.187889908256881,0,0,9,7
83,57,378,4.554216867469879,0.6867469879518072,0.12433862433862433,10,8.3,13,33,12,0,6,0,0,4,0,0.6344,0.4017857142857143,0.0625,81.19363253012051,7.17542168674699,1,0,2,3
407,175,2327,5.717444717444717,0.42997542997543,0.046841426729694886,23,17.695652173913043,68,128,36,13,22,0,0,2,0,0.9509,0.4483333333333333,0.04200000000000001,41.083741053306284,15.530349321653672,1,0,6,5
284,64,1079,3.7992957746478875,0.22535211267605634,0.019462465245597776,11,25.818181818181817,88,74,24,18,7,0,0,2,0,0.4976,0.22889177489177492,0.05664935064935065,65.64503841229197,16.38361075544174,0,0,12,1
418,144,1952,4.669856459330144,0.3444976076555024,0.03432377049180328,26,16.076923076923077,54,178,26,9,35,2,0,2,0,0.1306,0.4510816692268305,-0.04685739887352791,80.21309532572693,8.823113728376887,3,1,6,7
316,172,1703,5.389240506329114,0.5443037974683544,0.0722254844392249,17,18.58823529411765,46,98,23,8,14,0,0,3,0,0.9861,0.4185714285714286,0.1742857142857143,60.53249813849591,12.878332092330604,1,0,6,6
79,54,328,4.151898734177215,0.6835443037974683,0.12195121951219512,5,15.8,13,31,3,1,9,1,0,1,0,-0.394,0.5071428571428571,-0.022857142857142864,82.63850632911394,8.851645569620255,0,3,1,8
35,28,176,5.0285714285714285,0.8,0.13068181818181818,2,17.5,7,13,4,0,3,0,0,0,0,-0.7269,0.375,0.375,56.1296428571429,15.0,0,0,1,11
98,52,416,4.244897959183674,0.5306122448979592,0.07211538461538461,9,10.88888888888889,19,27,8,4,3,0,0,2,0,0.296,0.3101851851851852,0.10787037037037035,88.73787981859412,6.804535147392291,0,0,10,0
